,Name,smile,BA_pct,MolWt,ExactMolWt,qed,MolLogP,MolMR,VSA_total,LabuteASA,TPSA,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,NumHAcceptors,NumHDonors,HeavyAtomCount,NumHeteroatoms,NumRotatableBonds,NHOHCount,NOCount,FractionCSP3,RingCount,NumAliphaticRings,NumAromaticRings,NumAliphaticHeterocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumSaturatedRings,BalabanJ,BertzCT,HallKierAlpha,PEOE_VSA1,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SMR_VSA10,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,PEOE_VSA1,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SMR_VSA10,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,fracVSA_PEOE01,fracVSA_PEOE02,fracVSA_PEOE03,fracVSA_PEOE04,fracVSA_PEOE05,fracVSA_PEOE06,fracVSA_PEOE07,fracVSA_PEOE08,fracVSA_PEOE09,fracVSA_PEOE10,fracVSA_PEOE11,fracVSA_PEOE12,fracVSA_PEOE13,fracVSA_PEOE14,fracVSA_SMR01,fracVSA_SMR02,fracVSA_SMR03,fracVSA_SMR04,fracVSA_SMR05,fracVSA_SMR06,fracVSA_SMR07,fracVSA_SMR08,fracVSA_SMR09,fracVSA_SMR10,fracVSA_SlogP01,fracVSA_SlogP02,fracVSA_SlogP03,fracVSA_SlogP04,fracVSA_SlogP05,fracVSA_SlogP06,fracVSA_SlogP07,fracVSA_SlogP08,fracVSA_SlogP09,fracVSA_SlogP10,fracVSA_SlogP11,fracVSA_SlogP12
0,sulfadiazine,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,90.0,250.28300000000004,250.05244656,0.7871395577774678,0.8596000000000001,63.69490000000001,98.12153903796724,98.57832206048984,97.97,0.2637233954888739,-0.3987277171274398,0.3987277171274398,0.2637233954888739,5.0,2.0,17.0,7.0,3.0,3.0,6.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,2.285509074399646,595.9628413066204,-2.15,5.733667477162185,0.0,23.10784889067544,0.0,0.0,0.0,30.33183534230805,18.081073417909717,4.895483475517775,0.0,0.0,5.948339280986494,10.023291153407584,0.0,8.417796984328938,0.0,9.967957041894415,0.0,4.895483475517775,10.455762341614273,42.725522485534206,0.0,0.0,21.65901670907764,10.455762341614273,18.385754026223356,10.023291153407584,0.0,0.0,47.62100596105198,0.0,0.0,0.0,11.635725555670057,0.0,0.0,5.733667477162185,0.0,23.10784889067544,0.0,0.0,0.0,30.33183534230805,18.081073417909717,4.895483475517775,0.0,0.0,5.948339280986494,10.023291153407584,0.0,8.417796984328938,0.0,9.967957041894415,0.0,4.895483475517775,10.455762341614273,42.725522485534206,0.0,0.0,21.65901670907764,10.455762341614273,18.385754026223356,10.023291153407584,0.0,0.0,47.62100596105198,0.0,0.0,0.0,11.635725555670057,0.0,0.0,0.0584343410567948,0.0,0.2355023078239128,0.0,0.0,0.0,0.3091251486645702,0.184272215817094,0.0498920371970879,0.0,0.0,0.0606221563512659,0.1021517930892743,0.0,0.0857894919592705,0.0,0.1015878586865357,0.0,0.0498920371970879,0.1065592982349014,0.4354346956278575,0.0,0.0,0.220736618294347,0.1065592982349014,0.1873773506458062,0.1021517930892743,0.0,0.0,0.4853267328249454,0.0,0.0,0.0,0.1185848252050726,0.0,0.0
1,clofarabine,Nc1nc(Cl)nc2c1ncn2C1OC(CO)C(O)C1F,50.0,303.681,303.053445112,0.648649936215886,-0.3494000000000002,66.644,116.00101378646649,116.52072798085467,119.31000000000002,0.2259528383705885,-0.3935666899883442,0.3935666899883442,0.2259528383705885,8.0,3.0,20.0,10.0,2.0,4.0,8.0,0.5,3.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0706641278559674,653.0999260663426,-1.5500000000000005,20.683585220643646,4.567099647791355,9.374393568622027,9.967957041894415,0.0,0.0,11.600939890232516,0.0,12.93420203927746,17.72463349311287,23.86461656484792,5.283586320044258,0.0,0.0,19.34033279115628,0.0,19.519035210632985,0.0,24.607509341741768,12.340549441675105,11.6109063948088,0.0,0.0,28.58268060645153,5.733667477162185,54.7185801358342,4.736862953800049,0.0,6.22790117073487,6.3273200747645415,5.283586320044258,11.16387793838399,0.0,10.208277825509848,0.0,11.600939890232516,20.683585220643646,4.567099647791355,9.374393568622027,9.967957041894415,0.0,0.0,11.600939890232516,0.0,12.93420203927746,17.72463349311287,23.86461656484792,5.283586320044258,0.0,0.0,19.34033279115628,0.0,19.519035210632985,0.0,24.607509341741768,12.340549441675105,11.6109063948088,0.0,0.0,28.58268060645153,5.733667477162185,54.7185801358342,4.736862953800049,0.0,6.22790117073487,6.3273200747645415,5.283586320044258,11.16387793838399,0.0,10.208277825509848,0.0,11.600939890232516,0.1783052108382241,0.0393712046016979,0.0808130313919352,0.0859299131664774,0.0,0.0,0.1000072284849804,0.0,0.1115007672526604,0.1527972292185325,0.2057276551804768,0.0455477598650149,0.0,0.0,0.1667255497159513,0.0,0.1682660743514141,0.0,0.2121318472874644,0.1063831171716435,0.100093145877001,0.0,0.0,0.2464002655965253,0.0494277359309692,0.4717077752144444,0.0408346685876351,0.0,0.0536883339847281,0.0545453860119861,0.0455477598650149,0.0962394859663411,0.0,0.0880016259539002,0.0,0.1000072284849804
2,sulfamethoxazole,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,99.0,253.283,253.052112212,0.804736706639606,1.3660199999999998,62.90290000000002,97.99316116235909,98.46930176378612,98.22,0.2626376654672867,-0.3987277171275083,0.3987277171275083,0.2626376654672867,5.0,2.0,17.0,7.0,3.0,3.0,6.0,0.1,2.0,0.0,2.0,0.0,1.0,0.0,0.0,2.276726283674452,616.5006093542685,-2.02,10.256762414135531,4.722094864452088,8.417796984328938,0.0,0.0,5.156663257125445,31.18920547353706,11.753753343145172,4.895483475517775,5.760247418874442,5.817862777835028,0.0,10.023291153407584,0.0,12.940891921302285,0.0,5.156663257125445,0.0,11.8192206752084,10.455762341614273,36.09208276118249,0.0,0.0,21.528540205926173,10.455762341614273,13.574460241454382,10.023291153407584,6.923737199690624,5.760247418874442,39.750413754799176,0.0,0.0,0.0,11.50524905251859,0.0,0.0,10.256762414135531,4.722094864452088,8.417796984328938,0.0,0.0,5.156663257125445,31.18920547353706,11.753753343145172,4.895483475517775,5.760247418874442,5.817862777835028,0.0,10.023291153407584,0.0,12.940891921302285,0.0,5.156663257125445,0.0,11.8192206752084,10.455762341614273,36.09208276118249,0.0,0.0,21.528540205926173,10.455762341614273,13.574460241454382,10.023291153407584,6.923737199690624,5.760247418874442,39.750413754799176,0.0,0.0,0.0,11.50524905251859,0.0,0.0,0.104668145128431,0.0481880042284617,0.0859018821770836,0.0,0.0,0.0526226850522933,0.3182794095381974,0.1199446288264042,0.049957399245512,0.0587821369425018,0.0593700897983661,0.0,0.1022856190627485,0.0,0.1320591331864607,0.0,0.0526226850522933,0.0,0.120612709448426,0.1066988983475156,0.3683122611116061,0.0,0.0,0.2196943128536981,0.1066988983475156,0.1385245672293769,0.1022856190627485,0.0706553102029139,0.0587821369425018,0.4056447744239934,0.0,0.0,0.0,0.1174086937909495,0.0,0.0
3,tolazoline,c1ccc(CC2=NCCN2)cc1,90.0,160.22000000000003,160.100048384,0.6910509635760047,1.2308,50.450700000000026,71.55043439115548,72.33052509302233,24.39,0.1008390662575801,-0.3716997388136207,0.3716997388136207,0.1008390662575801,2.0,1.0,12.0,2.0,2.0,1.0,2.0,0.3,2.0,1.0,1.0,1.0,0.0,0.0,0.0,2.036479851021026,277.1498704898862,-1.31,5.316788604006331,4.992404732635669,0.0,0.0,0.0,30.33183534230805,5.563451491696996,12.965578028838586,6.544756405912575,5.835619785757269,0.0,0.0,0.0,0.0,0.0,0.0,5.316788604006331,4.992404732635669,6.4208216229260096,13.08951281182515,35.89528683400505,0.0,0.0,5.835619785757269,5.316788604006331,18.92513259758242,6.4208216229260096,0.0,5.563451491696996,35.324240074943724,0.0,0.0,0.0,0.0,0.0,0.0,5.316788604006331,4.992404732635669,0.0,0.0,0.0,30.33183534230805,5.563451491696996,12.965578028838586,6.544756405912575,5.835619785757269,0.0,0.0,0.0,0.0,0.0,0.0,5.316788604006331,4.992404732635669,6.4208216229260096,13.08951281182515,35.89528683400505,0.0,0.0,5.835619785757269,5.316788604006331,18.92513259758242,6.4208216229260096,0.0,5.563451491696996,35.324240074943724,0.0,0.0,0.0,0.0,0.0,0.0,0.074308264502494,0.0697746250615746,0.0,0.0,0.0,0.4239224485554967,0.0777556633867859,0.1812089351960844,0.0914705334999557,0.0815595297976083,0.0,0.0,0.0,0.0,0.0,0.0,0.074308264502494,0.0697746250615746,0.0897384016961286,0.1829410669999115,0.5016781119422826,0.0,0.0,0.0815595297976083,0.074308264502494,0.2645005967975199,0.0897384016961286,0.0,0.0777556633867859,0.4936970736170714,0.0,0.0,0.0,0.0,0.0,0.0
4,cotinine,CN1C(=O)CCC1c1cccnc1,97.0,176.21900000000002,176.094963004,0.647200855723837,1.3749,48.98200000000004,76.60663399474456,77.3912862891444,33.2,0.2224138123975083,-0.3386463313109148,0.3386463313109148,0.2224138123975083,2.0,0.0,13.0,3.0,1.0,0.0,3.0,0.4,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.236360159695857,309.96060133940625,-1.38,4.899909730850478,9.77851570501903,0.0,0.0,0.0,6.06636706846161,18.050640183084614,25.862180748829356,6.041840829147961,0.0,0.0,5.907179729351506,0.0,0.0,4.794537184071822,0.0,9.883888251797686,0.0,18.88348407499998,7.04767198267719,30.08987277184637,0.0,0.0,5.907179729351506,0.0,22.83873996382638,4.794537184071822,0.0,24.446935566696972,24.52642128014937,0.0,0.0,0.0,0.0,0.0,0.0,4.899909730850478,9.77851570501903,0.0,0.0,0.0,6.06636706846161,18.050640183084614,25.862180748829356,6.041840829147961,0.0,0.0,5.907179729351506,0.0,0.0,4.794537184071822,0.0,9.883888251797686,0.0,18.88348407499998,7.04767198267719,30.08987277184637,0.0,0.0,5.907179729351506,0.0,22.83873996382638,4.794537184071822,0.0,24.446935566696972,24.52642128014937,0.0,0.0,0.0,0.0,0.0,0.0,0.0639619504909539,0.1276458081383639,0.0,0.0,0.0,0.0791885343621517,0.2356276374748816,0.3375971427044239,0.0788683761978427,0.0,0.0,0.077110550631382,0.0,0.0,0.0625864489020721,0.0,0.1290213097272456,0.0,0.2464993315891603,0.0919981940880039,0.3927841650621358,0.0,0.0,0.077110550631382,0.0,0.2981300544466317,0.0625864489020721,0.0,0.3191229570062314,0.3201605396450647,0.0,0.0,0.0,0.0,0.0,0.0
5,methylaminorex,CC1NC(=N)OC1c1ccccc1,62.0,176.219,176.094963004,0.683275999090964,1.67077,50.592400000000026,76.44944654153402,77.23409883593389,45.11,0.2822511695853937,-0.4550553184950255,0.4550553184950255,0.2822511695853937,2.0,2.0,13.0,3.0,1.0,2.0,3.0,0.3,2.0,1.0,1.0,1.0,0.0,1.0,1.0,2.227124242045968,309.96060133940625,-1.5099999999999998,10.05365155780638,5.409283605791522,0.0,0.0,0.0,30.33183534230805,12.48718869138762,0.0,6.041840829147961,6.103966387748303,0.0,0.0,6.021680127344178,0.0,4.736862953800049,5.409283605791522,5.316788604006331,0.0,19.069544416586886,0.0,35.89528683400505,0.0,0.0,6.021680127344178,5.316788604006331,12.063520956492138,4.736862953800049,5.409283605791522,18.591155079135923,30.33183534230805,0.0,0.0,0.0,0.0,0.0,0.0,10.05365155780638,5.409283605791522,0.0,0.0,0.0,30.33183534230805,12.48718869138762,0.0,6.041840829147961,6.103966387748303,0.0,0.0,6.021680127344178,0.0,4.736862953800049,5.409283605791522,5.316788604006331,0.0,19.069544416586886,0.0,35.89528683400505,0.0,0.0,6.021680127344178,5.316788604006331,12.063520956492138,4.736862953800049,5.409283605791522,18.591155079135923,30.33183534230805,0.0,0.0,0.0,0.0,0.0,0.0,0.1315071856320681,0.0707563475015182,0.0,0.0,0.0,0.3967567682236803,0.163339164065805,0.0,0.0790305372042883,0.0798431730232617,0.0,0.0,0.078766824349378,0.0,0.0619607226486142,0.0707563475015182,0.0695464629834538,0.0,0.2494399276811853,0.0,0.4695297148358503,0.0,0.0,0.078766824349378,0.0695464629834538,0.1577973615536664,0.0619607226486142,0.0707563475015182,0.2431823370890669,0.3967567682236803,0.0,0.0,0.0,0.0,0.0,0.0
6,serotonin,NCCc1c[nH]c2ccc(O)cc12,50.0,176.21899999999997,176.094963004,0.6468452624532928,1.3747,52.721900000000026,75.40158445584854,76.1862367502484,62.040000000000006,0.1158381400040935,-0.5079413894628015,0.5079413894628015,0.1158381400040935,2.0,3.0,13.0,3.0,2.0,4.0,3.0,0.2,2.0,0.0,2.0,0.0,1.0,0.0,0.0,2.576000355142546,419.7820090914246,-1.48,15.8241733929501,0.0,0.0,0.0,0.0,0.0,36.72813072592041,17.099768503694133,0.0,5.749511833283905,0.0,0.0,0.0,0.0,5.106527394840706,0.0,4.9839785209472085,5.733667477162185,6.4208216229260096,6.544756405912575,29.9593962686949,0.0,5.749511833283905,10.902924932081056,5.733667477162185,16.635262321700488,6.4208216229260096,0.0,5.563451491696996,24.395944776997904,0.0,10.902924932081056,0.0,0.0,5.749511833283905,0.0,15.8241733929501,0.0,0.0,0.0,0.0,0.0,36.72813072592041,17.099768503694133,0.0,5.749511833283905,0.0,0.0,0.0,0.0,5.106527394840706,0.0,4.9839785209472085,5.733667477162185,6.4208216229260096,6.544756405912575,29.9593962686949,0.0,5.749511833283905,10.902924932081056,5.733667477162185,16.635262321700488,6.4208216229260096,0.0,5.563451491696996,24.395944776997904,0.0,10.902924932081056,0.0,0.0,5.749511833283905,0.0,0.2098652635372133,0.0,0.0,0.0,0.0,0.0,0.4871002511548891,0.2267826150749778,0.0,0.0762518702329198,0.0,0.0,0.0,0.0,0.0677244043569248,0.0,0.0660991218807289,0.0760417372995595,0.0851549960025803,0.0867986588497336,0.3973311235420742,0.0,0.0762518702329198,0.1445980878354787,0.0760417372995595,0.2206221850873874,0.0851549960025803,0.0,0.07378427829928,0.3235468452427942,0.0,0.1445980878354787,0.0,0.0,0.0762518702329198,0.0
7,ritipenem,CC(O)C1C(=O)N2C(C(=O)O)=C(COC(=N)O)SC12,37.0,288.281,288.04160710400004,0.3171885475366423,-0.2959300000000001,64.36510000000001,111.20542873377464,111.71005009917218,131.15,0.3778536366234123,-0.4765373087421193,0.4765373087421193,0.3778536366234123,6.0,4.0,19.0,9.0,4.0,4.0,8.0,0.5,2.0,2.0,0.0,2.0,0.0,1.0,1.0,2.212706080901121,488.4115492423098,-1.7399999999999998,20.056445138322168,9.6944469149223,10.203820789863345,0.0,0.0,11.761884949391115,6.923737199690624,0.0,16.92700894779974,17.67779409053749,0.0,5.907179729351506,0.0,12.05311097389637,29.64551950646581,5.409283605791522,4.899909730850478,5.917906046161393,18.401576400407667,6.606881964512918,10.60217582694588,0.0,0.0,29.722175652638988,0.0,56.26450378385042,14.325937321943693,11.327189651952915,6.923737199690624,10.60217582694588,0.0,0.0,0.0,0.0,0.0,11.761884949391115,20.056445138322168,9.6944469149223,10.203820789863345,0.0,0.0,11.761884949391115,6.923737199690624,0.0,16.92700894779974,17.67779409053749,0.0,5.907179729351506,0.0,12.05311097389637,29.64551950646581,5.409283605791522,4.899909730850478,5.917906046161393,18.401576400407667,6.606881964512918,10.60217582694588,0.0,0.0,29.722175652638988,0.0,56.26450378385042,14.325937321943693,11.327189651952915,6.923737199690624,10.60217582694588,0.0,0.0,0.0,0.0,0.0,11.761884949391115,0.1803549104274146,0.0871760221178659,0.0917564988152804,0.0,0.0,0.1057671831610758,0.0622607841948617,0.0,0.1522138724749034,0.1589652078304383,0.0,0.0531195265969728,0.0,0.1083859943811868,0.2665833839590427,0.0486422620494663,0.0440617853520518,0.0532159815716266,0.165473723809482,0.059411505712817,0.0953386534062779,0.0,0.0,0.2672727041392355,0.0,0.5059510531499988,0.1288240824666926,0.101858243621093,0.0622607841948617,0.0953386534062779,0.0,0.0,0.0,0.0,0.0,0.1057671831610758
8,didanosine,OCC1CCC(n2cnc3c(O)ncnc32)O1,38.0,236.231,236.090940244,0.7733612497215705,0.2018,57.217600000000026,95.947852147311,96.71203565403404,93.29,0.2424387469731859,-0.4916038490324854,0.4916038490324854,0.2424387469731859,7.0,2.0,17.0,7.0,2.0,2.0,7.0,0.5,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.9870447319479303,541.3305738992902,-1.73,14.94991774348146,4.567099647791355,9.967957041894415,4.9839785209472085,0.0,0.0,12.84164324585202,0.0,19.03816842702576,12.55522124549941,11.16387793838399,5.879988336435371,0.0,0.0,14.94991774348146,0.0,19.51903521063298,0.0,25.17351080433519,6.606881964512918,12.654640149529085,0.0,5.879988336435371,11.16387793838399,0.0,42.44293835257562,4.736862953800049,0.0,19.06954441658689,12.654640149529085,0.0,11.16387793838399,0.0,0.0,5.879988336435371,0.0,14.94991774348146,4.567099647791355,9.967957041894415,4.9839785209472085,0.0,0.0,12.84164324585202,0.0,19.03816842702576,12.55522124549941,11.16387793838399,5.879988336435371,0.0,0.0,14.94991774348146,0.0,19.51903521063298,0.0,25.17351080433519,6.606881964512918,12.654640149529085,0.0,5.879988336435371,11.16387793838399,0.0,42.44293835257562,4.736862953800049,0.0,19.06954441658689,12.654640149529085,0.0,11.16387793838399,0.0,0.0,5.879988336435371,0.0,0.1558129484808945,0.0475998112055638,0.1038893192376039,0.0519446596188019,0.0,0.0,0.1338398198443873,0.0,0.1984220386486193,0.1308546357684284,0.1163535992576866,0.0612831679380137,0.0,0.0,0.1558129484808945,0.0,0.2034337900619697,0.0,0.2623665901940744,0.0688590918572019,0.1318908122101588,0.0,0.0612831679380137,0.1163535992576866,0.0,0.4423542309984383,0.049369140087966,0.0,0.1987490495077364,0.1318908122101588,0.0,0.1163535992576866,0.0,0.0,0.0612831679380137,0.0
9,tazobactam,CC1(Cn2ccnn2)C(C(=O)O)N2C(=O)CC2S1(=O)=O,0.0,300.296,300.05284048399994,0.6721670015102429,-1.523199999999998,64.02160000000002,113.16665493807533,113.637122738197,122.45999999999998,0.3276911369700148,-0.4796693303199845,0.4796693303199845,0.3276911369700148,7.0,1.0,20.0,10.0,3.0,1.0,9.0,0.6,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.097498683882936,684.5109353405426,-1.97,10.006437125691184,9.476340119217006,13.212334168400758,0.0,5.098681808301038,5.213385095654868,6.923737199690624,6.196843571613076,19.162421600451665,10.1208952661863,15.879093965565463,5.907179729351506,0.0,5.969305287951849,23.113398747313287,0.0,19.89377956995157,0.0,36.052051323863466,0.0,12.393687143226153,0.0,0.0,21.713738153720858,0.0,61.45732506175882,25.97108391047372,0.0,13.344558822616634,12.393687143226153,0.0,0.0,0.0,0.0,0.0,0.0,10.006437125691184,9.476340119217006,13.212334168400758,0.0,5.098681808301038,5.213385095654868,6.923737199690624,6.196843571613076,19.162421600451665,10.1208952661863,15.879093965565463,5.907179729351506,0.0,5.969305287951849,23.113398747313287,0.0,19.89377956995157,0.0,36.052051323863466,0.0,12.393687143226153,0.0,0.0,21.713738153720858,0.0,61.45732506175882,25.97108391047372,0.0,13.344558822616634,12.393687143226153,0.0,0.0,0.0,0.0,0.0,0.0,0.0884221339860818,0.0837379184213092,0.1167511240447155,0.0,0.0450546303687338,0.0460682088598238,0.0611817783558176,0.0547585644817723,0.16932922167698,0.089433546230773,0.1403160142380676,0.0521989426353894,0.0,0.0527479167005355,0.2042421308640863,0.0,0.175791884816578,0.0,0.3185748606211884,0.0,0.1095171289635446,0.0,0.0,0.1918739947346026,0.0,0.5430692026320669,0.2294941378684831,0.0,0.1179195305359053,0.1095171289635446,0.0,0.0,0.0,0.0,0.0,0.0
